Country,Code,Region,SNE1_X,SNE1_Y,SNE2_X,SNE2_Y,BeeSwarm1,BeeSwarm2
Myanmar,MMR,East Asia and Pacific,-12.272362,10.380034,-126.4634503,6.338895648,0.873606578,0.121211506
Namibia,NAM,Sub-Saharan Africa,-11.255832,9.877801,-30.53689106,1.156993355,0.983434487,0.508251286
Nauru,NRU,East Asia and Pacific,-13.83645,12.140892,0.646728492,0.378076351,0.970425809,0.08789015
Nepal,NPL,South Asia,2.812905,-6.1677866,-1.858499288,-0.698596883,0.178055595,0.512853797
Netherlands,NLD,Europe and Central Asia,9.64258,-18.709797,-38.83776938,0.307284607,0.851719696,0.411907316
New Caledonia,NCL,East Asia and Pacific,-11.048092,9.480515,11.58538163,-1.031698539,0.877574229,0.253848453
New Zealand,NZL,East Asia and Pacific,-7.8116775,7.037229,14.08433136,1.83611578,0.365148913,0.43487394
Nicaragua,NIC,Latin America and Caribbean,6.8359985,-14.3698845,-37.90792375,-9.086241308,0.940412923,0.187343952
Niger,NER,Sub-Saharan Africa,-0.1893071,-2.473999,-2.046540871,-31.0003026,0.808225466,0.152036841
Nigeria,NGA,Sub-Saharan Africa,-1.748044,-0.6577877,17.90012458,-0.023661993,0.987487198,0.085504203
North Korea,PRK,East Asia and Pacific,-9.942031,8.658427,-25.7645511,-6.817847098,0.487260614,0.75892011
North Macedonia,MKD,Europe and Central Asia,-14.876669,16.24827,1.648498884,1.435315349,0.908639679,0.301934255
Northern Mariana Islands,MNP,East Asia and Pacific,2.835113,-7.6609797,-0.001023008,7.669261119,0.953730346,0.752598713
Norway,NOR,Europe and Central Asia,8.7622,-18.022152,-0.696304349,1.935993932,0.425628776,0.776406662
Oman,OMN,Middle East and North Africa,-0.2555068,-1.9330071,-13.74012386,9.383009251,0.982705341,0.062631004
Pakistan,PAK,South Asia,0.12521507,-3.3338733,-7.728884105,-0.109974463,0.568281423,0.462201576
Palau,PLW,East Asia and Pacific,-14.793285,16.353497,4.110001978,6.795881257,0.997219449,0.811576059
Palestine,PSE,Middle East and North Africa,9.081707,-18.957361,-1.095179897,0.506425414,0.989239185,0.088923961
Panama,PAN,Latin America and Caribbean,0.24442673,-3.6704142,23.25620634,3.549181623,0.309715568,0.374059347
Papua New Guinea,PNG,East Asia and Pacific,-4.61768,2.6668732,10.76000983,1.552253395,0.982556601,0.343794666
Paraguay,PRY,Latin America and Caribbean,-1.37995,-0.7317705,-23.38620397,19.81245559,0.487679232,0.861408334
Peru,PER,Latin America and Caribbean,-11.479046,10.231457,5.89557451,-0.09961966,0.999982888,0.91381292
Philippines,PHL,East Asia and Pacific,-15.494244,14.651803,29.45977549,-3.806067436,0.811569761,0.652746702
Poland,POL,Europe and Central Asia,-12.345499,10.495465,-3.477679336,0.065586548,0.617773937,0.273067642
Portugal,PRT,Europe and Central Asia,-4.294098,3.3410068,-1.858499288,-19.99652752,0.847171221,0.427510979
Puerto Rico,PRI,Latin America and Caribbean,1.4426391,-5.621084,-12.07760349,14.16220278,0.982410111,0.178187866
Qatar,QAT,Middle East and North Africa,1.9443271,-6.6609564,3.176818085,0.346427617,0.474539767,0.456047867
Romania,ROU,Europe and Central Asia,-8.2375555,7.406888,6.547516204,1.313222912,0.93088443,0.62483136
Russia,RUS,Europe and Central Asia,-15.381823,15.329725,13.29054312,-1.224920757,0.998188638,0.074810093
Rwanda,RWA,Sub-Saharan Africa,-6.078923,4.9054236,-3.746612644,11.74429541,0.582848035,0.344231822
Saint Kitts and Nevis,KNA,Latin America and Caribbean,7.154645,-14.935975,1.760349932,-41.48338661,0.612214892,0.221832125
Saint Lucia,LCA,Latin America and Caribbean,8.765795,-18.69485,-52.65276084,-6.042852583,0.959399159,0.006470022
Saint Martin (French part),MAF,Latin America and Caribbean,7.1276574,-14.886731,-4.117205004,0.436814376,0.6111842,0.684770642
Saint Vincent and the Grenadines,VCT,Latin America and Caribbean,-11.885059,10.534672,-28.0636084,1.749545795,0.996704722,0.743805843
Samoa,WSM,East Asia and Pacific,-7.6839423,6.690609,-33.82137999,0.322351812,0.988603269,0.097220481
San Marino,SMR,Europe and Central Asia,-1.8088112,-0.74230844,0.150875666,-1.059156244,0.809509963,0.561361781
Sao Tome and Principe,STP,Sub-Saharan Africa,8.5556555,-16.801123,-63.12389505,0.281421964,0.971151013,0.526442199
Saudi Arabia,SAU,Middle East and North Africa,-3.342642,1.5798299,2.091639512,0.122184912,0.965312319,0.633217015
Senegal,SEN,Sub-Saharan Africa,-0.9612068,-2.3177438,-1.709902242,1.445710116,0.982651016,0.703350757
Serbia,SRB,Europe and Central Asia,9.012231,-18.116648,6.654718322,0.285888894,0.97904754,0.387230993
Seychelles,SYC,Sub-Saharan Africa,-0.9112609,-2.296618,0.40815423,-0.119769948,0.73482627,0.034166941
Sierra Leone,SLE,Sub-Saharan Africa,2.7535481,-7.5775843,24.22608059,11.64855181,0.746424071,0.31560978
