Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index,tsneEco_X,tsneEco_Y,EconomicsIndex,EconomicsClass,tsneEnv_X,tsneEnv_Y,EnvironmentIndex,EnvironmentClass,tsneHel_X,tsneHel_Y,HealthIndex,HealthClass,tsneHum_X,tsneHum_Y,HumanIndex,HumanClass,tsnePol_X,tsnePol_Y,PoliticsIndex,PoliticsClass,tsneSus_X,tsneSus_Y,SustainabilityIndex,SustainabilityClass
Botswana,BWA,Africa,66.1978,11.36,"45.5359993",17614791266,11.36,6805.221274,60.5,16658075871,71353.51703,"15.35272026","2.525640898",88.3632384,"-1969289279",28.44,9,34,21.74049457,77.8206894,"24.72200012",2.900345721,1677.597002,"23.09438618","100",4.449526413,0.033704078,25.57,960.1144456,"2.4",0.002,581730,513.9965218,6700,"44.90445318","9.385218149","45.71032775","6.95",8.74,481.5,"6.03","3.48","235",77.5,"65.647","144","26.4","101.3","11.8","201.368","292.178","36.1","44.8",2588423,"18.6",25.4,21.9,"39",78,2000,,11,71.99475861,8.74,31.9,0.414028496,0.693,,44.1,"6.59",63.75,44,0.69,4.74940634,70,0.4,34.9,61.4,70.1,2.859640394,8.369390011,0.0286,64.8,28,0.98,0.6,0.482,54,-1.8624364,-4.1740036,0.119803781,Low,-3.427084,-4.6872797,0.0098803,Low,3.2911742,3.4678574,0.385128704,Low,-0.761947,-3.8938954,0.404443593,Low,5.41661,0.25363326,0.550980171,High,2.294125,-4.5045996,0.29404731,Low
Brazil,BRA,South America,59.08307,4.62,"49.99499893",1.61E+12,4.62,7507.160971,49,1.57E+12,39405.57634,"15.95808029","11.09637043",32.03921325,"32369598361",12.683,11,9.61,13.94010799,32.8904521,"14.40299988",2.050685078,2610.999282,"12.70662947","68.13503006",25.16815543,73.96690805,47.57,26730.20621,"5661",0.86,8515770,86.11633574,,"13.70864088","11.55365978","74.73769835","7.42",6.09,853.4,"0.39","0.24","48",11.4,"74.009","60","16","29.9","1","95.452","189.684","13.1","14.7",214326223,"0.6",7.3,4.1,"76",67,,,15,100,,54.6,0.551497936,0.754,"104.1259995",51.6,"7.42",85,42,-0.48,3.90755868,50,-0.5,40.5,40,57.2,1.190809848,3.277293345,0.0119,53.3,31,-0.49,-0.1,-0.28,75,-0.79346436,1.7330167,0.170452919,High,3.0889618,-0.18240103,0.479474035,High,-2.4771638,-2.8891838,0.637115456,High,-1.3847358,2.437299,0.565601749,High,2.7700987,-0.32803664,0.397971953,High,-1.2101301,0.59030354,0.450123222,High
Brunei Darussalam,BRN,Asia,70.06387,-1.61,"58.70000076",14006569576,-1.61,31449.07656,,14096219676,42531.76551,,"15.46592853",139.9843116,"1359173252",21.446,3,5,,110.2910037,"7.649000168",15.95715486,10121.0591,"5.903065468","0",77.18769497,0.047619048,0.01,19404.2662,"8.5",0,5770,-19.26199448,,"10.34098073","4.989989237","84.66903035","4.975",,671.6,,,"61",23.2,"74.795","10","7.5","13.3","0.1","97.328","141.401","9.6","11.5",445373,,,5.9,"87",72,,1.68,9,100,,,0.626391351,0.829,"91.36090851",72.5,"0.48",53.125,21,1.25,2.03760552,50,1.5,37.5,61.1,51.6,3.2622296,10.49896587,0.0326,64.8,7,1.17,1,0.89,77,3.0518076,-1.5054784,0.115189626,Low,3.8686872,-3.8296182,0.009924731,Low,-4.0436883,-4.0290847,0.47399766,High,1.2328011,-0.45554817,0.488241459,High,1.1241384,-3.4344723,0.507334235,High,-3.8084104,0.006543174,0.318937542,High
Bulgaria,BGR,Europe,71.97405,4.18,"52.61100006",84056312734,4.18,12221.49661,40.2,81864864554,19684.96249,"11.70670986","7.132681789",103.7554434,"-2256010000",23.975,7,14,19.90385141,110.28183,"5.423999786",5.61085728,4708.927458,"19.14913234","99.89467432",61.96164865,17.988593,19.34,3010.424239,"21",0.211,111000,-37.14016729,200,"2.214004172","2.47491822","95.31107766","18",,697.9,"0.06","0.03","17",5.8,"73.60731707","320","9.2","61.8","0.1",,,"5.1","6.1",6877743,"0.1",2.9,3,"57",,100,,24,99.69999695,,40.1,0.613898158,0.795,"87.96903992",59.9,"12.65",90.625,46,-0.24,4.21549892,60,-0.1,36.3,45.6,61.1,1.594889007,3.901266166,0.0159,71,33,0.46,0.4,-0.044,70,1.9721143,-0.80951124,0.1517818,High,-0.9455005,-4.143555,0.069408999,Low,-7.107645,-2.6383543,0.254094937,Low,0.22591777,4.577393,0.48998489,High,4.060576,-0.40154368,0.46068528,High,-3.400294,-2.6052628,0.285191181,Low
Burkina Faso,BFA,Africa,51.40019,6.91,"61.78499985",19737615114,6.91,893.0771558,39.5,18717882893,469652.4855,"20.88945007","-0.816610099",48.92688374,"1329958724",68.76,3,45,15.29241208,,"4.757999897",0.238644814,,"42.93559251","100",80.59471592,9.354038684,64.85,596.6120359,"12.5",0.125,274220,261.3724488,1200,"54.10482801","11.12996961","34.76520142","8.813",5.52,42.3,"0.12","0.08","45",24.3,"59.731","548","31","206.2","49.6","231.071","311.696","52.8","85",22100683,"0.6",18.5,18,"69",82,1000,24.5,6,18.95723915,5.52,41.5,0.383691937,0.449,"40.56293869",33.4,"12.03",82.5,30,-0.06,2.28508854,40,-0.7,23.3,41.4,36.3,2.891133818,9.588550215,0.0289,58.3,23,-1.64,-0.5,-0.438,43,-5.005231,1.3719876,0.117876743,Low,-5.2922487,-3.1799784,0.023433724,Low,0.66804236,4.48066,0.371721046,Low,-2.341191,-7.324383,0.209302708,Low,-2.1951027,-0.8683903,0.36145873,Low,5.8585153,-1.4362813,0.21675859,Low
Burundi,BDI,Africa,46.77393,1.8,"76.80000305",2779813489,1.8,221.4776762,42.4,2787941798,528405.406,"21.22216988","9.907567467",42.66473289,,85.942,4,24,,26.77333,"1.792000055",0.060632409,,"38.89626795","100",450.9957959,82.70938513,84.77,847.1694519,"10.06",0.655,27830,123.4550193,1000,"51.1748058","12.06130383","36.76389058","7.562",5.04,20.6,"0.13","0.14","100",3.4,"61.566",,"35.5","179.9","65.4","243.591","316.134","38.6","54.4",12551213,"0.9",,,"54",95,500,10.11,38,11.73555565,5.04,37.7,0.386170626,0.426,"47.62125015",28.3,"7.19",76.25,10,-1.58,2.66726708,30,-1.3,26.7,12.2,7.1,1.922801846,6.664121377,0.0192,39.4,4,-1.36,-1,-1.294,44,-6.345373,2.1996255,0.020882357,Low,3.4734862,3.4385428,0.026406923,Low,1.2569987,4.1051984,0.309715635,Low,-2.983113,-7.051264,0.245973996,Low,-4.520824,1.1997368,0.189704075,Low,5.9764934,0.009324054,0.158536597,Low
Cabo Verde,CPV,Africa,55.03925,6.95,"45.93700027",1936174043,6.95,3293.233054,,1898443617,301006.6027,"15.15369987","2.330490817",44.10760504,"-660435564.3",32.898,9,30,,84.69273656,"15.42300034",1.126457855,,"34.7787001","100",145.8870968,20.20849659,22.19,519.9036445,"0.3",0.19,4030,,200,"15.8291786","14.05036729","70.12045523","5.692",7.58,177.9,"0.39","0.24","35",6.7,"74.808","58","26.8","99.5","4.1","69.487","192.178","12.2","14.2",587925,"0.6",6.4,17.7,"89",91,100,,39,94.16174316,7.58,,,0.662,,,"5.6",86.25,54,,3.24621487,60,,30.8,60.9,77.4,0.535771998,1.530094388,,66.7,38,,,,69,-1.7859718,-0.074796654,0.092581128,Low,-0.4241211,-4.8886614,0.0113218,Low,-0.9921486,-2.6986146,0.434156835,Low,-3.145535,1.2979805,0.591340975,High,5.1052094,-1.1582046,0.390191842,High,-1.2043931,-3.5724378,0.303918516,High
Cambodia,KHM,Asia,53.84483,3.03,"79.19400024",26961061120,3.03,1625.23502,37.9,25558378524,6314820.878,"18.93770027","1.291945004",169.6186949,"-2543751854",75.332,9,40,17.05208455,123.5030089,"0.611999989",0.998288121,272.5034428,"25.61429187","100",91.63181065,46.41801228,53.36,7440.886598,"120.6",0.501,181040,552.597762,1000,"23.03431682","9.244724137","67.72095765","6.228",2.16,113.3,"0.11","0.07","288",39.2,"70.416","160","19.6","149.8","6.5","134.767","200.73","22","25.7",16589023,"0.6",15.1,6.3,"45",96,500,10.85,22,86.40000153,,48,0.491589874,0.593,"54.83041",38.5,"6.64",81.25,19,-1.18,1.69888663,50,-0.4,21.2,12.3,20.9,2.316364421,8.636472575,0.0232,57.1,5,-0.13,-0.6,-0.9,61,-4.730114,3.7869418,0.174405878,High,3.281054,1.2285776,0.045741287,Low,-1.7446005,0.8546523,0.439639601,Low,-1.5848544,-2.9229686,0.415862782,Low,-2.5218484,1.7244841,0.282215809,Low,2.2210984,0.18656498,0.271573071,Low
Cameroon,CMR,Africa,46.09974,3.49,"72.5059967",45338283345,3.49,1666.932734,44.6,44306780490,903334.9035,"14.0946703","3.356131743",22.49754346,"-679366093.9",41.852,6,44,12.34694571,33.7389805,"3.86500001",0.365754231,279.9155231,"72.79309622","100",57.20727747,76.11719444,79.41,10588.64282,"273",0.643,475440,3.451748715,9600,"51.81622547","10.45751758","37.72625669","8.419",3.17,54,"0.77","0.56","164",63.8,"60.833","529","30.2","208.1","45.2","265.145","329.202","48.3","72.2",27198628,"2.9",26.7,6.7,"50",86,4000,,34,64.72136688,3.17,39.9,0.397401512,0.576,"45.15785599",32.1,"5.65",60,9,-1.09,0.12061489,50,-0.9,21.6,19.9,10.9,1.024089314,5.538018548,0.0102,52.9,6,-1.41,-0.9,-1.097,44,-5.4703255,0.8362054,0.126645997,Low,3.8719401,3.8258235,0.046678673,Low,0.5743361,4.775698,0.357815592,Low,-2.370779,-5.1202064,0.332320906,Low,-3.8333862,0.69504964,0.078934483,Low,5.560708,-0.38041627,0.18847913,Low
Canada,CAN,North America,79.64043,4.56,"60.31600189",1.99E+12,4.56,51987.93905,32.1,1.97E+12,64722.37646,"11.73793983","8.069384509",50.87831389,"-29665332506",18.347,2,8,13.05768467,60.78253044,"7.510000229",15.43061283,15588.48715,"6.428383133","0",3.871161517,63.01145004,22.11,75795.39286,"2850",0.688,9879750,68.73487187,,"4.772252267","5.419114589","89.80863295","8.1",,5048.4,,,"5.3",3.9,"81.74878049","10","5.3","7","0.4",,,"4.4","5",38246108,"0.31",1,2.5,"87",,,,30,100,,40.2,0.797520101,0.936,"114.8661575",76.9,"8.94",100,58,1.65,7.60929585,80,1.6,39.9,86.7,96.4,1.315152952,2.735723076,0.0132,76.6,40,0.94,1.6,1.627,89,3.2394428,0.7332088,0.199269171,High,4.826849,-2.6564507,0.463555584,High,-5.9010997,-6.11751,0.64854214,High,1.3272703,6.6928067,0.642116212,High,8.565282,-1.0942283,0.605783686,High,-7.1733418,-3.4542103,0.511853358,High
Central African Rep.,CAF,Africa,35.56585,0.9,"66.55799866",2516498299,0.9,461.1374902,43.6,2688202098,273162.6396,"9.797809601","3.27056491",29.88279389,,57.352,10,56,8.63983072,49.52102,"6.574999809",0.046071236,,"56.82849738","100",8.759757938,99.41520468,91.26,27066.85167,"141",0.994,622980,252.2856531,2100,"59.0611668","9.020713997","31.91811867","11.041",2.17,37.2,"0.95","0.58","540",4.4,"54.604","829","37.7","211.9","82.1","367.44","448.54","77.5","103",5457154,"2.7",61.8,52.2,"45",79,1200,,13,15.46508408,2.17,25.2,0.291631907,0.404,,16.1,"2.38",76.875,4,-1.23,0.81950128,30,-1.6,13.4,18.3,12.3,1.858675078,8.500486026,0.0186,45.7,3,-2.1,-1.5,-1.667,32,-6.4275026,0.042864442,0.074205407,Low,2.917081,4.445166,0.061331888,Low,1.9785966,6.0877113,0.160794472,Low,-4.0758324,-6.713323,0.001457424,Low,-5.1101685,0.6748703,0.139203142,Low,7.028604,-0.31058425,0.087398467,Low
Chad,TCD,Africa,36.93568,-1.2,"57.24399948",11779980802,-1.2,685.6902841,43.3,11381134158,367362.2704,"14.21378994","7.199988308",45.03402925,,76.219,8,54,,68.73036014,"1.881999969",0.139518738,,"66.0292055","100",13.37985981,0,77.79,930.1249232,"15",,1284000,498.7255734,2300,"63.44751848","9.567027411","26.98545265","12.486",2.91,29.9,"0.31","0.21","140",11.6,"52.777","1140","32.4","280.1","101","344.715","408.621","67.4","110",17179740,"1.1",,32.7,"57",81,1100,,32,11.08011723,2.91,30.4,0.299782783,0.394,,20.4,"1.37",66.25,14,-1.48,0.75380653,40,-1.4,17.7,13.1,13.6,2.794138043,15.69537969,0.0279,49.8,1,-1.34,-1.2,-1.325,28,-6.596544,-0.017147621,0.096687719,Low,-6.0702276,-3.2831504,0.001917751,Low,1.2714217,6.1373076,0.052655862,Low,-4.327565,-6.5107994,0.022956595,Low,-4.825697,0.24139652,0.171083694,Low,6.948766,-1.2629111,0.069060324,Low
Chile,CHL,South America,72.58023,11.67,"49.64799881",3.17E+11,11.67,16265.09598,50.5,2.99E+11,11627397.63,"21.23353004","7.559883001",58.93991011,"18975767172",12.183,7,7,18.3955245,58.50415982,"9.128000259",4.798974486,3895.436156,"21.03629906","97.66301771",25.76078234,43.60433496,25.26,46482.34971,"885",0.483,756700,120.5139441,3600,"7.111620873","7.763257778","85.12512574","7.221",5.43,1375.8,"0.37","0.2","16",5.5,"79.377","13","14.9","25.3","0.2","62.14","112.595","5.8","6.8",19493184,"0.6",3.8,2.6,"87",77,1000,,35,100,,45.6,0.651604176,0.855,"103.6418533",62.6,"9.07",80,56,0.98,4.7519598,70,0.6,25,71.4,91.4,1.96335906,5.902207541,0.0196,74.4,38,0.06,1,0.914,80,-0.107012995,1.7548229,0.227095375,High,1.2083294,-0.8782592,0.244043907,High,-4.6323977,-4.4779587,0.594609433,High,-0.44474494,4.8084273,0.622743644,High,7.1241784,-0.6045494,0.560206439,High,-4.870298,-2.5283945,0.449739759,High
China,CHN,Asia,77.28424,8.11,"64.77899933",1.77E+13,8.11,12556.33312,46.5,1.76E+13,80237.3191,"11.22999954","4.371786898",34.12906067,"5.11E+11",37.488,5,7,9.052685732,34.75429578,"4.816999912",7.605936961,3905.317598,"52.66459583","99.99829446",147.1206356,23.92681717,14.45,1998.160178,"2812.9",0.292,9600012.9,219.9524772,,"3.549710558","6.817212942","89.6330763","7.07",3.57,535.1,,,"55",57.9,"78.077","29","17.4","112.7","0.6","55.437","109.413","5.5","7.3",1412360000,"0.04",,2.5,"75",95,,,25,100,3.57,41.9,0.653102636,0.768,,50.8,"7.05",75.625,11,0.05,2.99503422,20,0.8,30.7,39.3,37.4,1.73634051,5.025497783,0.0174,48,-2,-0.48,-0.3,0.035,82,4.0054064,2.93858,0.2285527,High,1.1079868,-6.9370136,0.119539332,High,-1.2841437,-5.3214335,0.574048096,High,-0.046993855,2.6616611,0.540920089,High,-1.17107,2.9586146,0.298136401,Low,-1.8704104,1.2903892,0.352239324,High
Colombia,COL,South America,70.05964,10.56,"55.43299866",3.14E+11,10.56,6104.136709,51.1,3.09E+11,22472884.4,"13.71910954","6.502214787",32.24151437,"-8869788062",18.26,8,10,14.67432951,33.90423132,"14.33600044",1.61474775,1320.34513,"16.52721022","92.10462898",45.16544064,68.23681122,30.72,42739.80608,"2145",0.671,1140619.05,-0.564903873,8100,"10.33977341","14.01450815","75.64571442","6.606",4.93,495.3,"0.3","0.17","41",47.2,"74.769","83","15.4","37","0.8","87.21","166.27","11.4","13.2",51516562,"0.5",,8.2,"65",71,2800,1.21,19,100,4.93,60.2,0.604330301,0.752,"101.7957611",49.1,"5.74",84.375,35,-0.34,5.54188728,70,0,29.2,42,59.1,3.401893976,9.572258718,0.034,65.1,29,-0.91,0.2,-0.452,78,-0.6376352,1.5512981,0.200592077,High,2.2817073,0.2197238,0.304890912,High,-1.4874935,-3.2087684,0.568073766,High,-1.9092408,2.3883874,0.594912576,High,3.006229,1.1121699,0.497022289,High,-1.1964208,0.10145938,0.433098324,High
Comoros,COM,Africa,47.87291,2.35,"39.26399994",1296089633,2.35,1577.471027,55.9,1302398117,659351.9556,,"0.059577397",27.93016709,"-217152485.7",70.387,9,33,,33.72993462,"9.44699955",0.404558352,,"20.5468246","100",441.4965073,0,53.43,1517.093855,"1.2",0.004,1861,91.66933933,100,"44.07133812","11.24678304","44.68188009","8.274",,72.3,"0.01","0.01","35",12.2,"64.166","273","26.6","172.4","50.7","186.394","262.788","47.2","61.3",821625,"0.1",27.4,,"47",92,100,,17,86.73713684,,42.4,0.404688299,0.558,,,"0.69",65,26,-1.29,0.83081788,30,-1.8,27.2,20.1,21.2,,,,50.4,16,-0.23,-1.2,-1.225,44,-5.910163,-1.3913355,0.038259429,Low,-4.612878,-3.3050077,0.002093642,Low,0.74725807,3.5805085,0.353739591,Low,-3.0464149,-3.7815557,0.334917632,Low,-3.2469764,0.27705458,0.238672359,Low,4.678256,-1.5069371,0.193536531,Low
Congo (Dem. Rep.),COD,Africa,36.20973,5.71,"61.56600189",55350968593,5.71,577.2092152,42.1,51986874182,1078504.582,,"14.97543455",61.06487539,"1923441763",53.765,4,52,,58.49175733,"5.426000118",0.035703604,105.2796488,"44.9092636","100",40.89545559,99.82106911,96.24,10010.35627,"900",0.289,2344860,-41.73442939,13000,"56.18278095","9.68515364","34.13206532","9.537",2.7,20.6,"0.26","0.18","318",33,"59.739","473","34.9","163.9","59.8","248.709","313.209","63.8","81.2",95894118,"0.7",39.2,39.8,"70",94,4800,,13,19.10000038,2.7,40.5,0.366369277,0.479,,24.8,"2",78.75,15,-1.55,0.55936718,20,-1.7,13.2,11.8,13.2,0.56168578,4.330432664,0.0056,47.6,2,-1.61,-1.4,-1.704,39,-5.759079,0.3332004,0.128412946,Low,4.623263,3.395263,0.056603316,Low,1.6334492,5.076936,0.284806638,Low,-3.5886605,-6.2680182,0.175041357,Low,-4.783923,0.58694726,0.121920607,Low,6.302178,-0.4338811,0.153356973,Low
Congo (Rep.),COG,Africa,39.53359,-3.5,"51.06200027",13366230220,-3.5,2290.382891,48.9,12782645699,1214634.185,"17.93088913","25.60115057",69.36884857,"2198521142",31.717,11,50,7.750240556,99.42221889,"23.01099968",1.303239669,194.3431777,"46.63822028","100",17.06376023,53.34486736,68.67,39851.12911,"222",0.999,342000,-43.75716601,9600,"51.96721583","9.459275132","38.57350947","6.923",4.45,48.6,"3.8","2.39","370",11.4,"63.785","378","29.7","130.7","38.7","249.061","304.313","33","44.6",5835806,"3.8",55.5,31.6,"55",75,4100,,11,49.51710129,4.45,47.2,0.419265717,0.571,,32.7,"9.27",49.375,15,-1.37,0.78319961,30,-1.6,47.1,13.4,14.9,2.912711963,11.75939188,0.0291,48.5,4,-0.61,-1.4,-1.136,40,-4.748937,-2.8100271,0.123091936,Low,3.1012785,3.3851032,0.04873787,Low,2.2043552,4.0614657,0.353722107,Low,-1.6274865,-5.419339,0.301830888,Low,-3.9954183,1.2563398,0.229975203,Low,4.66922,0.24842884,0.211471601,Low
Costa Rica,CRI,North America,69.2383,7.58,"48.61100006",64282438667,7.58,12472.44373,48.5,60132529869,7242853.31,"24.55101013","2.02914008",56.3482045,"-1708406583",18.575,10,10,13.18214869,60.10507193,"17.95400047",1.620601418,1922.883198,"15.7259203","99.68879337",100.8602153,99.00110988,35.76,22224.26764,"113",0.998,51100,42.82567901,1000,"7.128495366","10.87851142","81.99299074","5.627",6.71,921.6,"0.37","0.21","11",14,"79.277","27","14.8","23.3","0.9","52.584","110.686","6.7","7.9",5153957,"0.5",2.8,3.4,"65",84,500,0.07,46,99.90000153,6.8,62.1,0.628635049,0.809,"142.0174866",58.9,"4.87",86.25,53,0.5,5.27621126,50,0.3,19.3,63.1,78.4,,,,65.4,38,0.87,0.5,0.452,78,-0.6133782,1.6861175,0.183926617,High,1.2552928,3.0476532,0.149077707,High,-3.487474,-3.6840465,0.568514414,High,-3.071604,3.9940753,0.742225484,High,6.036657,-0.7704134,0.496829351,High,-4.882814,-1.0409553,0.428114715,High
Cote d'Ivoire,CIV,Africa,60.68796,7.02,"53.57400131",70043191477,7.02,2549.041297,41.5,67930954950,1370895.212,"17.37957954","2.763518213",41.40445258,"2982160384",47.82,4,25,11.76875524,42.20452104,"3.467999935",0.414187926,270.5740305,"25.88626634","100",85.2144421,16.72597865,62.46,2938.707338,"76.84",,322460,-77.98815553,4200,"54.3054201","10.03468075","35.65990096","8.817",3.44,75.1,"0.33","0.21","128",48.3,"59.032","617","24.1","269.1","47.2","335.791","349.567","57.9","77.9",27478249,"1.9",9.4,4.4,"59",84,1300,3.34,14,69.67912292,3.44,39.6,0.379889339,0.55,"57.46538925",30.5,"2.71",83.125,30,-0.37,0.95927447,50,-0.5,22.6,33.8,30,1.251481329,,0.0125,61.6,19,-0.95,-0.3,-0.634,45,-4.0288424,0.729219,0.148678242,High,-4.7599554,-2.797123,0.005503039,Low,0.264889,4.976649,0.349384793,Low,-2.4634495,-4.5203156,0.352011619,Low,-1.3668828,-0.05216523,0.300257537,Low,5.37459,-1.5775354,0.231167046,Low
Croatia,HRV,Europe,73.62096,10.45,"47.52399826",68955083280,10.45,17685.32528,30.8,69560020723,113466.9189,"8.509619713","2.034956001",83.24259397,"-10082887776",42.122,8,12,21.50461665,89.98540001,"8.682999611",4.063707833,3714.382988,"17.90177229","99.77960527",44.27160213,66.82683752,31.6,9273.71556,"37.7",0.592,88070,-12.41792098,100,"3.396394081","5.065135554","91.53847078","14.1",,1040.1,"0.04","0.02","4",46.7,"77.72439024","8","7.9","35.5","0.1","45.153","104.715","3.9","4.6",3899000,"0.1",1.6,2.5,"95",51,100,,31,100,,46.2,0.709693968,0.858,"100.3958282",64.5,"9.23",93.75,49,0.06,5.69058323,60,0.6,47.4,50,69.9,2.735568587,5.04380373,0.0274,67.6,36,0.71,0.5,0.303,73,1.2978356,-0.6862244,0.160019399,High,1.7687281,1.074159,0.110850224,High,-7.7476134,-4.540117,0.516639794,High,-0.009922955,5.5790725,0.639738018,High,5.4591246,-0.47483885,0.554576897,High,-4.363086,-2.3207755,0.396364866,High
Cuba,CUB,North America,,-10.95,"52.68299866",,-10.95,,,,,"14.22594357","401.5882781",,,22.708,,,,15.68298681,"2.756000042",2.289537296,1447.666993,"19.7060474","100",102.4424099,3.948146688,21.54,3368.474034,"38.12",0.046,109880,-8.108686256,1800,"9.215071855","7.477643283","83.30728506","10.23",,1031.9,"0.35","0.17","6.8",,"77.567","36","8.9","49.5","1","72.972","130.806","4.1","5.1",11256372,"0.5",,2.5,"66",79,1000,0.2,53,100,,,,0.764,"99.9485321",,"5.83",,11,-0.01,10.12506104,10,-0.2,62.4,39.9,15.6,,,,29.5,1,0.43,-1.4,-0.404,80,0.74476016,4.1160407,0.067439552,Low,-2.7163944,-4.7844768,0.019239291,Low,-5.1594124,-3.6158867,0.586254666,High,1.4350597,2.9352946,0.643902039,High,-1.2336979,4.103698,0.319900595,Low,-2.1289794,-0.91885704,0.327347229,High
Cyprus,CYP,Asia,73.35105,5.51,"58.82799911",28407867534,5.51,31551.81641,34.8,26007856841,24423.27539,"13.68255043","2.871144871",49.1237154,"-4842071103",33.144,5,16,23.97935972,164.1557391,"6.130000114",5.851065608,3548.868092,"17.2944062","100",134.5068108,8.780057357,12.05,634.7470289,"0.78",0.133,9250,44.84747212,100,"4.791724617","5.346625435","89.86164863","6.93",,1996.5,"0.07","0.04","4.4",2.3,"81.391","6","5.8","20.1","0.3","40.907","69.678","2.3","2.8",1244188,"0.1",,2.5,"87",44,100,,14,100,,49.4,0.755520225,0.896,"101.4274063",65.9,"10.81",94.375,55,0.39,3.92549944,60,0.7,39.6,62.9,90.9,1.986812218,4.121303447,0.0199,72.9,38,0.44,0.9,0.637,79,2.6251392,-0.43629086,0.142649329,High,-1.7331778,-4.966286,0.011325373,Low,-5.227137,-5.917626,0.560569864,High,0.6211692,5.624537,0.586968216,High,6.5437746,-0.75258964,0.54703065,High,-4.4893155,-3.6472666,0.369708687,High
Czech Republic,CZE,Europe,76.34054,3.34,"57.95600128",2.82E+11,3.34,26821.24523,,2.69E+11,555406.3043,"11.06466007","3.331700274",155.4114145,"12266246974",25.786,9,8,14.83340329,133.1483198,"2.887000084",9.022786158,6258.891037,"16.07124535","99.67721262",133.2019458,11.40457054,15.85,1232.211412,"13.15",0.156,78871.01,-29.17807323,,"5.827791344","4.775480923","89.39672369","12.1",4.27,1844.2,,,"3.9",3.1,"78.22682927","3","5.9","29.6","0.2",,,"2.3","2.9",10505772,,1.6,2.5,"87",69,,,25,100,4.27,46.8,0.752257407,0.889,"100.9363785",71.1,"14.45",93.75,55,0.64,6.38516235,80,1.1,41.4,59.6,81.8,1.434091362,3.013504654,0.0143,74.4,36,0.96,1.3,1.126,78,3.0543692,-2.1256227,0.218520828,High,-1.5500686,-4.407986,0.061246009,Low,-6.1246085,-4.6921005,0.578632789,High,0.47942948,6.327659,0.50808707,High,7.3606396,-0.9292032,0.555386201,High,-4.789434,-3.4017265,0.384374579,High
