Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index,tsneEco_X,tsneEco_Y,EconomicsIndex,EconomicsClass,tsneEnv_X,tsneEnv_Y,EnvironmentIndex,EnvironmentClass,tsneHel_X,tsneHel_Y,HealthIndex,HealthClass,tsneHum_X,tsneHum_Y,HumanIndex,HumanClass,tsnePol_X,tsnePol_Y,PoliticsIndex,PoliticsClass,tsneSus_X,tsneSus_Y,SustainabilityIndex,SustainabilityClass
Bahrain,BHR,Asia,76.02665,2.23,"68.98799896",38868663032,2.23,26562.96914,,,8212.415963,"8.489999771","9.501301209",94.05263044,,10.378,6,3,,139.8079397,"1.873999953",22.25958067,19969.73612,"70.81620768","100",1864.031847,0,0,2.677039302,"0.004",0.015,785,92.65536823,100,"5.00867409","8.892317027","86.0990093","2.239",2.15,940.4,"0.08","0.05","15",10.5,"79.174","14","5.2","40.1","0.1","50.855","59.491","5.8","6.8",1463265,"0.1",,,"87",,100,2.34,15,100,2.15,33.6,0.652472019,0.875,,63.9,"1.09",65,10,0.17,2.3749764,80,0.7,33.4,41.6,27.4,3.558259674,11.58340767,0.0356,62,2,-0.51,0.8,0.471,71,2.6406271,1.6380614,0.052230528,Low,-3.1761353,-8.528987,0.000115177,Low,-3.6317234,-4.7786903,0.504042902,High,1.1629249,0.067103736,0.477758693,High,-0.083282486,3.008652,0.411634019,High,-3.6848276,0.7193919,0.289156264,Low
Bangladesh,BGD,Asia,45.04865,6.94,"53.99200058",4.16E+11,6.94,2457.92488,32.1,4.38E+11,219418.9218,"11.32936764","4.121175352",29.94991582,"-16393590453",61.054,9,33,7.731772166,26.27144655,"5.229000092",0.548224197,317.24537,"60.84578458","100",1147.633333,1.226889902,24.75,634.378907,"105",0.039,147570,44.67096196,1000,"22.61283722","7.131492663","70.25567178","5.816",1.33,45.9,"0.01","0.01","221",5.1,"71.968","173","15.3","149","11.9","116.992","156.333","24.3","29.1",169356251,"0.1",10.7,11.4,"82",95,200,,21,96.19999695,1.33,54.5,0.464036435,0.661,"74.3600769",35.3,"0.019",49.375,24,-0.96,0.46258456,40,-0.6,13.9,22.2,28.1,1.269776719,8.56491343,0.0127,52.7,15,-0.97,-0.8,-0.611,51,-5.3718557,-0.2305636,0.15088088,High,-4.645778,-5.7404194,0.016572795,Low,-1.0801696,0.6645513,0.25857322,Low,-2.718002,-1.7540654,0.09495507,Low,-2.37559,0.25909385,0.241955115,Low,2.1433282,-1.9869782,0.152587416,Low
Barbados,BRB,North America,57.90615,1.4,"53.51499939",4843800000,1.4,17225.4623,,4747600000,33766.71408,"10.77849007","3.878277849",41.74408522,,68.754,7,28,,66.53752301,"10.41300011",4.46141766,,"23.0801758","100",653.9534884,0,4.31,285.5307302,"0.08",0.033,430,28.4202694,100,"12.90050074","4.309227264","82.79027088","8.973",6.45,1143.3,"0.45","0.24","0.41",9.6,"77.393","27","8.2","31.1","0.2","85.887","125.431","11.4","12.2",281200,"0.9",7.4,3.4,"87",50,100,2.65,20,100,6.45,,,0.79,"104.022522",60.8,"9.69",80,57,1.24,2.82451534,60,0.5,45,68.7,88.2,,,,71.3,38,1.12,0.6,0.375,74,-3.3749888,-0.6370217,0.098928584,Low,-2.2468836,-5.869869,0.001080741,Low,-5.053686,-4.7637677,0.180215379,Low,-0.22718143,3.9638958,0.583044763,High,6.653883,-0.34263837,0.523363891,High,-3.5583577,-3.6844113,0.277326672,Low
Belarus,BLR,Europe,74.29113,2.51,"60.7159996",68205380707,2.51,7302.257794,26.5,65566628589,17821.02829,"13.33073997","13.05041983",118.9774167,"-1993000000",20.09,4,7,14.67256897,118.9338837,"4.736000061",6.122237765,3690.103683,"18.76557991","99.93135197",44.98971148,0.815679831,7.83,3609.434552,"34",0.298,207610,-40.86284581,1000,"1.608653743","5.714505715","92.67684243","13",4.95,399.4,"0.21","0.12","30",10,"74.22682927","2","7.6","60.7","0.1",,,"2.2","2.9",9340314,"0.5",,2.5,"51",85,200,5.24,40,100,4.95,42.9,0.700078189,0.808,"103.47229",59.9,"11.45",75.625,6,-0.24,4.12527084,20,-0.8,41.7,43.7,15.5,1.155805708,29.99845086,0.0116,53,2,-0.74,-0.9,-1.1,74,2.7806578,-1.5931288,0.136760737,Low,-1.5432285,-4.2805753,0.054613485,Low,-6.1633725,-2.6643002,0.51955513,High,-0.6035685,5.044991,0.573304743,High,-3.420756,3.3393714,0.291633322,Low,-1.9702197,-1.2815264,0.315173483,High
Belgium,BEL,Europe,74.98904,6.24,"50.77299881",5.94E+11,6.24,51247.01435,25.9,6.00E+11,43730.00078,"12.23050976","2.926076119",177.6610971,"7036544923",1.883,5,11,24.00856601,157.1807224,"6.420000076",8.095583954,7709.123078,"12.88651847","91.94854035",379.7232886,20.80002301,10.21,1044.479144,"12",0.52,30530,-3.263041778,,"7.897905535","6.120963772","85.98112786","11",6.38,4960.4,,,"8.1",56.5,"80.79512195","5","5.8","15.7","0.3","47.952","82.72","3.4","4.2",11592952,,1.3,2.5,"87",67,,0.89,42,100,,42.5,0.760419667,0.937,"151.5748138",77.5,"11.08",100,57,1.48,8.18138885,70,1.1,54.1,83.6,91.2,1.081807781,1.91103329,0.0108,69.6,39,0.61,1.3,1.326,85,4.04295,-2.0284858,0.227495718,High,-0.04473185,-1.9657933,0.084106814,High,-7.7673593,-5.8752127,0.598162361,High,1.1020839,7.96186,0.706683557,High,8.219585,-1.5419227,0.562245658,High,-5.91128,-3.8626895,0.435738822,High
Belize,BLZ,North America,55.47444,9.75,"56.54700089",2491500000,9.75,6228.267309,,2413550000,12066.81482,"22.20202065","3.955286155",59.60264901,"-442678800.9",53.799,9,29,,80.36057692,"8.218999863",1.644842482,,"23.01189211","100",17.41536787,45.23993047,29.09,39219.21382,"15.26",0.032,22970,148.1141394,200,"15.93566018","18.84552916","65.218811","5.244",8.71,293.4,"0.67","0.42","28",,"72.854","36","22.6","68.6","1","132.376","239.508","10","11.7",400031,"1.1",6,7.4,"63",82,100,0.15,13,97.11333466,8.71,,,0.683,"85.24632263",48.5,"6.22",79.375,53,-0.3,4.16896009,50,-0.5,33.9,38.1,70.2,1.253583903,3.288176338,0.0125,56.6,34,0.46,-0.4,-0.778,67,-3.4215574,1.1117743,0.091712274,Low,0.9493074,-4.506794,0.025718285,Low,-0.41416016,-2.5979428,0.421775594,Low,-1.4693187,0.9444359,0.542173055,High,3.3332593,-1.0258232,0.406204448,High,-0.56518054,-3.6067605,0.297516731,Low
Benin,BEN,Africa,52.40404,6.6,"69.83000183",17144918952,6.6,1319.154995,36.5,17599874023,750923.203,,"-1.513167801",45.36621037,"-156238554",51.028,6,54,,44.83323338,"1.574000001",0.593957402,97.1281349,"38.99995876","100",113.252832,5.555555556,46.47,838.0494635,"10.3",,114760,-28.93719456,1100,"51.8319986","9.191471024","38.97652916","9.364",3,29.1,"0.2","0.14","53",52.8,"60.088","397","26.8","205","59.7","246.154","288.981","56.5","85.9",12996895,"0.8",13.8,7.4,"54",90,500,6.72,8,41.41095734,3,41.4,0.400290728,0.525,"47.50183105",34.5,"2.81",80.625,42,-0.15,0.54099613,50,-0.2,21.9,40.3,55.3,0.560621374,3.003997919,0.0056,61,17,-0.3,-0.4,-0.594,38,-5.4123616,1.1413839,0.131064187,Low,-4.7279496,-3.9413157,0.005449876,Low,0.27595308,4.779565,0.33619754,Low,-2.9367008,-5.4773216,0.303641674,Low,-0.4421092,-0.90197825,0.270192812,Low,5.4076033,-1.7314382,0.209309218,Low
Bhutan,BTN,Asia,65.97305,-10.08,"57.5340004",2539552985,-10.08,3266.364905,38.8,2383913563,226711.3493,"20.38315582","4.703273588",78.91152546,"-311014844.5",56.992,8,18,16.68545493,75.92107014,"4.331999779",1.368151201,,"37.9265032","100",20.25230529,99.99354643,82.27,101634.0938,"78",1,38390,157.5464599,100,"18.21093733","9.045744661","72.74331953","6.545",5.68,116,"0.16","0.1","164",36.1,"71.609","183","16.2","124.5","3.9","113.318","155.847","23.2","27.6",777486,"0.2",,,"67",94,100,3.65,17,100,5.68,36.7,0.475297034,0.666,,47.7,"0.43",71.875,32,1.55,2.6540451,30,0.8,30.5,73.5,60.9,,,,59.3,29,0.97,-0.4,0.636,62,-2.4592474,-0.37626958,0.090891681,Low,2.332568,4.28851,0.050576246,Low,-2.0313628,-0.3138669,0.424009191,Low,-0.955934,-1.2705197,0.495142322,High,4.7358227,1.1553673,0.464033459,High,0.27825534,1.3040884,0.30493058,High
Bolivia,BOL,South America,51.65574,6.11,"69.52400208",40408208528,6.11,3345.196589,47,39368460625,22520.52597,"13.52000046","3.966970327",50.95251868,"435829649.1",29.525,12,42,,45.50326259,"8.508999825",1.896866998,728.2229062,"21.5689866","99.99913202",10.99553241,31.40243902,8.67,25769.88049,"303.5",0.356,1098580,222.730662,1300,"18.62232215","8.701779101","72.67590013","9.3",8.9,245.9,"0.22","0.13","109",13.1,"64.467","155","21.1","63.7","5.6","190.705","316.665","20.7","25.4",12079472,"0.3",,13.9,"53",80,500,4.9,46,97.55412292,,45,,0.692,"90.21331024",44.8,"4.43",88.75,39,-0.86,4.93192387,40,-0.7,42.2,28.7,28.4,1.544458342,4.528735061,0.0154,43,27,-0.32,-1.2,-1.163,67,-2.8085587,0.91022074,0.130173981,Low,0.3179623,-3.341581,0.103294739,High,-1.7281597,-0.6976361,0.506935562,High,-3.4225326,1.2882576,0.586892425,High,1.164485,-0.7196724,0.344823701,Low,0.13278817,-0.7632041,0.334424082,High
Bosnia and Herzegovina,BIH,Europe,65.44253,7.1,"35.62099838",23365361635,7.1,7143.310548,33.8,23023924770,11639.56755,,"4.878606347",92.62856847,"-3659507049",50.575,13,33,20.44074783,83.2439706,"15.21500015",6.26950657,3360.899316,"27.74766896","99.95523503",63.87313025,35.51730757,37.02,10563.24093,"35.5",0.373,51210,-13.44313767,,"1.809747742","3.766587803","94.42366335","14.094",,553.8,,,"25",2.2,"76.225","10","13.5","79.8","0.1","52.767","97.159","4.9","5.7",3270943,,2.8,2.5,"45",51,,,26,100,,47.8,0.579684079,0.78,,50.2,"7.15",85,34,-0.64,6.21883726,60,-1,44.1,33.4,37.2,0.894938348,1.996106995,0.0089,63.4,19,-0.38,-0.2,-0.279,65,-1.8065418,-1.557365,0.120895999,Low,0.85810155,-1.9787339,0.084734868,High,-6.379669,-2.8855283,0.504566767,High,-1.0463392,2.4173636,0.556267597,High,1.6084615,-0.000931531,0.348785959,Low,-2.67465,-1.8651586,0.323050238,High
